0;0;2;2;2;2;2;2;2;2;0;2;0;0;0;0;0
480;3;0;4;4;4;4;4;4;4;0;1;2;0;0;0;2
431;3;4;0;4;4;4;4;4;4;0;1;2;0;0;0;2
387;3;4;4;0;4;4;4;4;4;0;1;2;0;0;0;2
357;3;4;4;4;0;4;4;4;4;0;1;2;0;0;0;2
222;3;4;4;4;4;0;4;4;4;0;1;2;2;2;0;2
202;3;4;4;4;4;4;0;4;4;0;1;2;2;2;0;2
203;3;4;4;4;4;4;4;0;4;0;1;2;2;2;0;2
183;3;4;4;4;4;4;4;4;0;2;1;2;2;2;0;2
248;0;3;3;3;3;3;3;3;3;0;0;0;0;0;2;0
247;0;0;0;0;0;3;3;3;3;0;0;0;0;0;2;0
247;0;0;0;0;0;3;3;3;3;0;0;0;0;0;2;
326;0;0;0;0;0;0;0;0;0;0;0;3;3;3;0;0
475;0;3;3;3;3;3;3;3;3;0;3;0;0;0;0;0
